City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Tuktoyaktuk,CA,2021-07-18 23:05:30,69.4541,-133.0374,57.2,88,75,11.5
94,Cayenne,GF,2021-07-18 23:05:31,4.9333,-52.3333,82.09,80,0,1.14
95,Minab,IR,2021-07-18 23:05:31,27.1467,57.0801,88.59,71,100,3.91
96,Markova,UA,2021-07-18 23:05:31,48.6758,24.4138,62.35,95,31,4.07
97,Padang,ID,2021-07-18 23:05:32,-0.9492,100.3543,75.25,87,95,3.56
98,Bandarbeyla,SO,2021-07-18 23:03:07,9.4942,50.8122,77.49,77,100,29.84
99,Half Moon Bay,US,2021-07-18 23:05:32,37.4636,-122.4286,99.57,59,40,1.01
100,Kapit,MY,2021-07-18 23:05:32,2.0167,112.9333,73.26,96,77,1.25
101,Ancud,CL,2021-07-18 23:05:33,-41.8697,-73.8203,46.22,84,100,5.82
102,Hermiston,US,2021-07-18 23:05:33,45.8404,-119.2895,97.77,22,1,5.75
103,Vung Tau,VN,2021-07-18 23:05:34,10.346,107.0843,79.38,85,100,14.72
104,North Bend,US,2021-07-18 23:05:34,43.4065,-124.2243,76.91,69,20,19.57
105,Tuatapere,NZ,2021-07-18 23:03:25,-46.1333,167.6833,40.82,88,88,2.48
106,Otane,NZ,2021-07-18 23:05:34,-39.8833,176.6333,54.01,84,98,6.11
107,Havelock,US,2021-07-18 23:05:35,34.8791,-76.9013,80.94,91,54,7.0
108,Clyde River,CA,2021-07-18 23:05:35,70.4692,-68.5914,37.6,71,100,7.31
109,Anau,PF,2021-07-18 23:05:35,-16.5167,-151.7333,76.08,81,100,18.9
110,Sorong,ID,2021-07-18 23:05:36,-0.8833,131.25,77.65,86,100,9.8
111,Ingham,US,2021-07-18 23:05:36,42.6,-84.3833,82.74,61,75,0.0
112,Neftcala,AZ,2021-07-18 23:05:37,39.3742,49.2472,79.57,80,78,4.07
113,Ostrovnoy,RU,2021-07-18 23:05:37,68.0531,39.5131,56.1,75,100,19.46
114,Iqaluit,CA,2021-07-18 23:02:00,63.7506,-68.5145,43.7,65,93,8.01
115,Carutapera,BR,2021-07-18 23:03:28,-1.195,-46.02,77.02,86,37,6.33
116,Bredasdorp,ZA,2021-07-18 23:05:38,-34.5322,20.0403,51.71,71,45,4.61
117,Victoria,HK,2021-07-18 23:01:49,22.2855,114.1577,80.94,94,100,13.0
118,Dombarovskiy,RU,2021-07-18 23:05:38,50.7587,59.5386,73.13,47,82,5.75
119,Tasiilaq,GL,2021-07-18 23:03:11,65.6145,-37.6368,44.76,79,87,4.45
120,Nouadhibou,MR,2021-07-18 23:05:39,20.931,-17.0347,68.25,92,15,17.4
121,Qaanaaq,GL,2021-07-18 23:05:39,77.484,-69.3632,37.45,85,96,2.77
122,Hithadhoo,MV,2021-07-18 23:05:40,-0.6,73.0833,80.44,73,33,0.38
123,Ostrowiec Swietokrzyski,PL,2021-07-18 23:05:40,50.9294,21.3853,70.11,83,87,9.64
124,Lompoc,US,2021-07-18 23:05:40,34.6391,-120.4579,79.11,64,1,14.97
125,Paamiut,GL,2021-07-18 23:05:41,61.994,-49.6678,42.89,97,90,21.79
126,Barrow,US,2021-07-18 23:05:41,71.2906,-156.7887,50.02,81,90,10.36
127,Torrijos,ES,2021-07-18 23:05:42,39.9819,-4.2835,85.84,21,0,6.08
