City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Catemaco,MX,79.2,few clouds,18.4167,-95.1167,Hotel Playa Cristal
152,Labuhan,ID,77.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
154,Clarence Town,AU,56.34,clear sky,-32.5833,151.7833,River Downs Cottage
155,Kupang,ID,73.98,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
156,Manono,CD,72.57,clear sky,-7.3,27.4167,Hotel hewa bora
157,Vestmannaeyjar,IS,53.56,overcast clouds,63.4427,-20.2734,Glamping & Camping
159,Rawson,AR,53.78,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
160,Saldanha,ZA,44.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
161,Waingapu,ID,78.42,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
162,Szigetujfalu,HU,68.04,clear sky,47.2342,18.9275,Castrum Vendégház
165,Pisco,PE,62.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
166,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
168,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
169,Moree,AU,44.62,clear sky,-29.4667,149.85,Molika Springs Motel
170,Ancud,CL,49.53,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
171,Polyanka,UA,57.06,broken clouds,50.2584,27.6881,Готель «Арарат»
172,Kunming,CN,62.53,light rain,25.0389,102.7183,Green Land Hotel
174,Khatanga,RU,53.98,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
175,Ilulissat,GL,48.22,broken clouds,69.2167,-51.1,Hotel Arctic
177,Beringovskiy,RU,54.48,broken clouds,63.05,179.3167,Beringgorski
178,Khash,IR,76.75,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
179,Hamilton,US,79.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
180,Westonaria,ZA,40.69,clear sky,-26.3191,27.6486,Nolikha Bed & Breakfast Conference Area
182,Wana,PK,72.3,few clouds,32.2989,69.5725,Rest House at Wana Camp
183,Ahipara,NZ,59.02,light rain,-35.1667,173.1667,Ahipara Holiday Park
184,Olafsvik,IS,52.9,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
185,Sudbury,CA,72.57,broken clouds,46.49,-80.99,Travelway Inn Sudbury
186,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
188,Itapaci,BR,74.12,clear sky,-14.9508,-49.5494,Gold Pallace Hotel
190,Asau,RO,61.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
192,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
193,Karratha,AU,72.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
198,Tuatapere,NZ,46.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
199,Mazara Del Vallo,IT,75.94,clear sky,37.6641,12.588,Vizier Resort & Spa
200,Ouesso,CG,75.85,overcast clouds,1.6136,16.0517,ABENIE Hotel
202,Pozo Colorado,PY,63.54,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
203,Port Elizabeth,ZA,44.89,light intensity shower rain,-33.918,25.5701,39 On Nile Guest House
204,Malakal,SS,72.46,overcast clouds,9.5334,31.6605,Nile Palace Hotel
206,Mahebourg,MU,68.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Bay Roberts,CA,53.33,overcast clouds,47.5999,-53.2648,Stonewall Inn
210,Cap Malheureux,MU,68.49,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
214,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
215,Lagoa,PT,67.12,overcast clouds,39.05,-27.9833,Casa Das Faias
216,Faanui,PF,79.07,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Jinhua,CN,78.44,scattered clouds,29.1078,119.6547,Guiyun Hotel
218,Sao Gabriel Da Cachoeira,BR,73.02,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
219,Taltal,CL,59.36,scattered clouds,-25.4,-70.4833,Residencial Karime
220,Beterou,BJ,72.88,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
222,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
229,Batemans Bay,AU,52.92,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
235,Namibe,AO,64.2,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
236,Bundaberg,AU,58.21,clear sky,-24.85,152.35,Takalvan Motel
238,Kaeo,NZ,64.33,broken clouds,-35.1,173.7833,Bushido Lodge
239,Harnosand,SE,61.0,overcast clouds,62.6323,17.9379,First Hotel Stadt
240,Keffi,NG,75.58,light rain,8.8486,7.8736,Imam Family
241,Carmelo,UY,59.16,scattered clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
242,Muisne,EC,75.83,scattered clouds,0.6,-80.0333,Quinta Samay
243,Denia,ES,79.75,clear sky,38.8408,0.1057,Hotel Port Denia
244,Komsomolskiy,UZ,72.82,clear sky,40.4272,71.7189,Ikathouse
245,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
246,Turukhansk,RU,59.85,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
247,Coihaique,CL,48.15,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
248,Kumba,CM,71.49,overcast clouds,4.6363,9.4469,El Bethel Hotel
250,Carnarvon,AU,53.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
253,Maniitsoq,GL,44.67,scattered clouds,65.4167,-52.9,Hotel Heilmann Lyberth
254,Pulawy,PL,62.4,broken clouds,51.4166,21.9694,Hotel Trzy Korony
255,Aksu,CN,65.71,light rain,41.1231,80.2644,Pudong Holiday Hotel
256,Romny,UA,58.32,broken clouds,50.751,33.4747,Floriana
257,Vila Franca Do Campo,PT,68.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
258,Svetlogorsk,BY,54.43,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
260,Pangnirtung,CA,42.01,broken clouds,66.1451,-65.7125,Kilabuk Lodge
261,Kapit,MY,75.7,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
263,Kaitangata,NZ,44.2,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
268,Valdez,EC,78.44,few clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
269,Miguel Calmon,BR,63.61,scattered clouds,-11.4289,-40.595,Pousada Guiomar
271,Pljevlja,ME,56.66,clear sky,43.3333,19.3333,Hotel Franca
273,La Ronge,CA,70.05,smoke,55.1001,-105.2842,Northland Motor Hotel
275,Vila,PT,64.74,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
