City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Sembe,CG,1.6481,14.5806,75.07,76,100,2.77,overcast clouds
138,Salalah,OM,17.0151,54.0924,78.89,94,90,3.44,drizzle
139,Alcazar De San Juan,ES,39.3901,-3.2083,81.59,34,0,8.93,clear sky
140,Spassk-Dalniy,RU,44.5978,132.8211,83.52,64,93,6.15,overcast clouds
141,Zhigalovo,RU,54.8097,105.1578,69.96,69,2,2.26,clear sky
142,Atherton,GB,53.5237,-2.4935,71.55,84,17,1.99,few clouds
143,Jhanjharpur,IN,26.2667,86.2833,82.2,84,100,6.8,light rain
144,Paamiut,GL,61.994,-49.6678,42.17,86,38,10.76,scattered clouds
145,Beyneu,KZ,45.3167,55.2,90.12,23,83,13.65,broken clouds
146,Manjeri,IN,11.1167,76.1167,74.08,94,90,2.3,mist
147,Cape Town,ZA,-33.9258,18.4232,46.81,86,75,1.01,light rain
148,Swan Hill,AU,-35.3378,143.5544,47.57,63,99,12.8,overcast clouds
149,San Patricio,US,28.017,-97.5169,84.92,56,6,14.34,clear sky
150,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,23,18.41,few clouds
151,Catemaco,MX,18.4167,-95.1167,79.2,83,22,4.18,few clouds
152,Labuhan,ID,-6.8844,112.2051,77.45,80,85,6.62,overcast clouds
153,Tateyama,JP,34.9833,139.8667,84.22,73,2,2.91,clear sky
154,Clarence Town,AU,-32.5833,151.7833,56.34,52,9,3.98,clear sky
155,Kupang,ID,-10.1667,123.5833,73.98,88,20,4.61,few clouds
156,Manono,CD,-7.3,27.4167,72.57,35,0,3.56,clear sky
157,Vestmannaeyjar,IS,63.4427,-20.2734,53.56,92,99,3.18,overcast clouds
158,Laguna De Perlas,NI,12.3429,-83.6712,82.49,88,100,16.62,overcast clouds
159,Rawson,AR,-43.3002,-65.1023,53.78,65,100,14.23,overcast clouds
160,Saldanha,ZA,-33.0117,17.9442,44.65,63,80,15.61,broken clouds
161,Waingapu,ID,-9.6567,120.2641,78.42,68,90,10.45,overcast clouds
162,Szigetujfalu,HU,47.2342,18.9275,68.04,54,8,4.27,clear sky
163,Kyaikkami,MM,16.08,97.5675,81.03,84,98,20.51,moderate rain
164,Jacareacanga,BR,-6.2222,-57.7528,80.6,46,29,2.08,scattered clouds
165,Pisco,PE,-13.7,-76.2167,62.65,82,75,11.5,broken clouds
166,Balikpapan,ID,-1.2675,116.8289,76.19,88,40,0.0,scattered clouds
167,Shingu,JP,33.7333,135.9833,83.39,74,97,9.42,overcast clouds
168,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,98,8.01,overcast clouds
169,Moree,AU,-29.4667,149.85,44.62,76,3,8.05,clear sky
170,Ancud,CL,-41.8697,-73.8203,49.53,85,100,12.41,overcast clouds
171,Polyanka,UA,50.2584,27.6881,57.06,94,65,8.28,broken clouds
172,Kunming,CN,25.0389,102.7183,62.53,94,90,6.71,light rain
173,Kizukuri,JP,40.8061,140.3861,80.11,74,90,4.45,overcast clouds
174,Khatanga,RU,71.9667,102.5,53.98,91,100,3.22,overcast clouds
175,Ilulissat,GL,69.2167,-51.1,48.22,66,57,3.44,broken clouds
176,Port Moresby,PG,-9.4431,147.1797,80.02,78,40,11.5,haze
177,Beringovskiy,RU,63.05,179.3167,54.48,68,84,7.05,broken clouds
178,Khash,IR,28.2211,61.2158,76.75,19,0,5.17,clear sky
179,Hamilton,US,39.1834,-84.5333,79.65,65,20,1.01,few clouds
180,Westonaria,ZA,-26.3191,27.6486,40.69,21,0,6.04,clear sky
181,Vanimo,PG,-2.6741,141.3028,80.22,86,81,4.21,broken clouds
182,Wana,PK,32.2989,69.5725,72.3,62,22,0.63,few clouds
183,Ahipara,NZ,-35.1667,173.1667,59.02,87,63,11.39,light rain
184,Olafsvik,IS,64.8945,-23.7142,52.9,95,99,11.54,overcast clouds
185,Sudbury,CA,46.49,-80.99,72.57,59,71,5.44,broken clouds
186,Port-Gentil,GA,-0.7193,8.7815,75.16,83,75,9.22,broken clouds
187,Pecos,US,31.4229,-103.4932,90.43,22,1,6.91,clear sky
188,Itapaci,BR,-14.9508,-49.5494,74.12,31,0,3.38,clear sky
189,Chihuahua,MX,28.5,-106.0,84.29,37,4,14.74,clear sky
190,Asau,RO,46.4333,26.4,61.72,87,95,5.48,overcast clouds
191,Ostrovnoy,RU,68.0531,39.5131,45.5,82,86,8.55,overcast clouds
192,Touros,BR,-5.1989,-35.4608,76.1,81,8,14.72,clear sky
193,Karratha,AU,-20.7377,116.8463,72.19,58,8,9.78,clear sky
194,Dunda,TZ,-8.1167,34.25,57.42,84,11,2.8,few clouds
195,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,7.31,moderate rain
196,Saint Anthony,US,45.0205,-93.218,84.09,68,20,3.0,haze
197,Clovis,US,36.8252,-119.7029,105.85,15,20,1.99,haze
198,Tuatapere,NZ,-46.1333,167.6833,46.81,80,100,5.91,overcast clouds
199,Mazara Del Vallo,IT,37.6641,12.588,75.94,73,0,6.35,clear sky
200,Ouesso,CG,1.6136,16.0517,75.85,72,100,2.08,overcast clouds
201,Mecca,SA,21.4267,39.8261,84.18,65,52,26.13,broken clouds
202,Pozo Colorado,PY,-23.4923,-58.7972,63.54,35,0,2.75,clear sky
203,Port Elizabeth,ZA,-33.918,25.5701,44.89,81,75,20.71,light intensity shower rain
204,Malakal,SS,9.5334,31.6605,72.46,91,100,2.55,overcast clouds
205,Doka,SD,13.5167,35.7667,69.82,90,100,9.44,overcast clouds
206,Mahebourg,MU,-20.4081,57.7,68.29,83,75,13.8,light rain
207,Iquitos,PE,-3.7481,-73.2472,80.64,74,0,2.3,clear sky
208,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,11.5,few clouds
209,Bay Roberts,CA,47.5999,-53.2648,53.33,96,97,5.99,overcast clouds
210,Cap Malheureux,MU,-19.9842,57.6142,68.49,78,67,5.01,light rain
211,Ishigaki,JP,24.3448,124.1572,82.53,89,75,23.02,light intensity shower rain
212,Woodward,US,36.4337,-99.3904,85.23,42,40,8.05,scattered clouds
213,Araouane,ML,18.9048,-3.5265,97.57,29,89,14.56,overcast clouds
214,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,17.27,clear sky
215,Lagoa,PT,39.05,-27.9833,67.12,71,94,16.2,overcast clouds
216,Faanui,PF,-16.4833,-151.75,79.07,77,31,16.84,scattered clouds
217,Jinhua,CN,29.1078,119.6547,78.44,83,37,2.19,scattered clouds
218,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.02,95,65,1.95,broken clouds
219,Taltal,CL,-25.4,-70.4833,59.36,69,35,5.68,scattered clouds
220,Beterou,BJ,9.1992,2.2586,72.88,90,86,4.45,overcast clouds
221,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,76.5,73,29,2.1,scattered clouds
222,Yulara,AU,-25.2406,130.9889,64.24,32,0,12.66,clear sky
223,Tungor,RU,53.3808,142.9564,75.27,75,63,9.78,broken clouds
224,Lavrentiya,RU,65.5833,-171.0,42.78,71,100,11.23,overcast clouds
225,Baijiantan,CN,45.6333,85.1833,90.5,15,100,7.29,overcast clouds
226,Norman Wells,CA,65.282,-126.8329,84.24,37,75,9.22,broken clouds
227,Namatanai,PG,-3.6667,152.4333,83.14,73,66,4.03,light rain
228,Massakory,TD,12.996,15.7293,82.31,65,73,8.99,broken clouds
229,Batemans Bay,AU,-35.7167,150.1833,52.92,47,8,3.71,clear sky
230,Half Moon Bay,US,37.4636,-122.4286,90.75,64,20,12.66,few clouds
231,Twin Falls,US,42.3505,-114.6445,94.89,26,1,12.66,clear sky
232,Druzhba,UA,52.0428,33.9453,55.38,93,4,8.28,clear sky
233,Khorixas,NA,-20.3667,14.9667,59.36,30,0,6.85,clear sky
234,Linqu,CN,36.5156,118.5397,83.32,71,100,5.59,overcast clouds
235,Namibe,AO,-15.1961,12.1522,64.2,82,0,2.15,clear sky
236,Bundaberg,AU,-24.85,152.35,58.21,53,3,1.99,clear sky
237,Iralaya,HN,15.0,-83.2333,84.29,81,97,15.03,overcast clouds
238,Kaeo,NZ,-35.1,173.7833,64.33,79,69,11.7,broken clouds
239,Harnosand,SE,62.6323,17.9379,61.0,52,86,12.82,overcast clouds
240,Keffi,NG,8.8486,7.8736,75.58,94,82,2.8,light rain
241,Carmelo,UY,-33.9892,-58.2856,59.16,71,31,8.9,scattered clouds
242,Muisne,EC,0.6,-80.0333,75.83,86,34,9.08,scattered clouds
243,Denia,ES,38.8408,0.1057,79.75,67,0,1.01,clear sky
244,Komsomolskiy,UZ,40.4272,71.7189,72.82,56,1,2.3,clear sky
245,Meulaboh,ID,4.1363,96.1285,75.38,87,100,4.09,overcast clouds
246,Turukhansk,RU,65.8167,87.9833,59.85,67,94,10.09,overcast clouds
247,Coihaique,CL,-45.5752,-72.0662,48.15,76,75,3.44,light rain
248,Kumba,CM,4.6363,9.4469,71.49,95,100,2.53,overcast clouds
249,Svetlaya,RU,46.5389,138.3297,73.13,84,74,5.26,broken clouds
250,Carnarvon,AU,-24.8667,113.6333,53.67,65,6,5.75,clear sky
251,Hambantota,LK,6.1241,81.1185,80.01,79,100,19.8,overcast clouds
252,Miragoane,HT,18.4423,-73.0876,82.24,77,95,5.44,overcast clouds
253,Maniitsoq,GL,65.4167,-52.9,44.67,80,32,3.91,scattered clouds
254,Pulawy,PL,51.4166,21.9694,62.4,84,76,5.59,broken clouds
255,Aksu,CN,41.1231,80.2644,65.71,77,100,3.27,light rain
256,Romny,UA,50.751,33.4747,58.32,96,64,6.6,broken clouds
257,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,78,31,6.6,scattered clouds
258,Svetlogorsk,BY,52.6333,29.7333,54.43,65,3,8.39,clear sky
259,Bermejillo,MX,25.8833,-103.6167,80.04,47,96,11.72,overcast clouds
260,Pangnirtung,CA,66.1451,-65.7125,42.01,81,69,4.83,broken clouds
261,Kapit,MY,2.0167,112.9333,75.7,94,100,0.69,moderate rain
262,Dalnegorsk,RU,44.5604,135.5701,85.73,62,80,2.19,broken clouds
